cutoff,month,cutoff_key,date_key,months_ahead,actual,p10,p25,p50,p75,p90,error,inside_80,inside_50,direction
2025-01-01,2025-05-01,2025-01-01,2025-05-01,4,23070950.0,19682515.0,21848125.0,24210000.0,26581900.0,28654000.0,-1139050.0,1,1,Forecast high
2025-01-01,2025-06-01,2025-01-01,2025-06-01,5,27145550.0,19328305.0,21975650.0,24677525.0,27410725.0,29844230.0,2468025.0,1,1,Forecast low
2025-01-01,2025-07-01,2025-01-01,2025-07-01,6,13598000.0,11442675.0,13341712.5,15595425.0,18245137.5,20620580.0,-1997425.0,1,1,Forecast high
2025-02-01,2025-03-01,2025-02-01,2025-03-01,1,20974650.0,16775910.0,18219150.0,19735925.0,21180612.5,22455080.0,1238725.0,1,1,Forecast low
2025-02-01,2025-04-01,2025-02-01,2025-04-01,2,22132100.0,19900310.0,21783025.0,23807575.0,26000662.5,27914625.0,-1675475.0,1,1,Forecast high
2025-02-01,2025-05-01,2025-02-01,2025-05-01,3,23070950.0,20877635.0,22993500.0,25116625.0,27403637.5,29349940.0,-2045675.0,1,1,Forecast high
2025-02-01,2025-06-01,2025-02-01,2025-06-01,4,27145550.0,19099255.0,21808550.0,24689325.0,27472787.5,29764920.0,2456225.0,1,1,Forecast low
2025-02-01,2025-07-01,2025-02-01,2025-07-01,5,19053900.0,15737480.0,17848062.5,20273250.0,23082637.5,25715410.0,-1219350.0,1,1,Forecast high
2025-02-01,2025-08-01,2025-02-01,2025-08-01,6,15366900.0,12683175.0,14409362.5,16282400.0,18307375.0,20183900.0,-915500.0,1,1,Forecast high
2025-03-01,2025-04-01,2025-03-01,2025-04-01,1,22132100.0,14242165.0,15695900.0,17272900.0,18913537.5,20256880.0,4859200.0,0,0,Forecast low
2025-03-01,2025-05-01,2025-03-01,2025-05-01,2,23070950.0,24576910.0,26643487.5,28706650.0,30934962.5,32848870.0,-5635700.0,0,0,Forecast high
2025-03-01,2025-06-01,2025-03-01,2025-06-01,3,27145550.0,19022040.0,21733337.5,24725000.0,27446812.5,29938490.0,2420550.0,1,1,Forecast low
2025-03-01,2025-07-01,2025-03-01,2025-07-01,4,19053900.0,16030035.0,18008212.5,20268725.0,23056187.5,25467360.0,-1214825.0,1,1,Forecast high
2025-03-01,2025-08-01,2025-03-01,2025-08-01,5,20209200.0,17118930.0,19004712.5,21025525.0,23303262.5,25265455.0,-816325.0,1,1,Forecast high
2025-03-01,2025-09-01,2025-03-01,2025-09-01,6,26502000.0,22500135.0,24975162.5,27611325.0,30277987.5,32596795.0,-1109325.0,1,1,Forecast high
2025-04-01,2025-05-01,2025-04-01,2025-05-01,1,23070950.0,15724420.0,17472850.0,19360075.0,21175200.0,22753065.0,3710875.0,0,0,Forecast low
2025-04-01,2025-06-01,2025-04-01,2025-06-01,2,27145550.0,19423270.0,22094750.0,24773225.0,27655525.0,29936390.0,2372325.0,1,1,Forecast low
2025-04-01,2025-07-01,2025-04-01,2025-07-01,3,19053900.0,16638220.0,18670000.0,21031750.0,23735550.0,26332845.0,-1977850.0,1,1,Forecast high
2025-04-01,2025-08-01,2025-04-01,2025-08-01,4,20209200.0,17941330.0,19748650.0,21855125.0,24084950.0,26194405.0,-1645925.0,1,1,Forecast high
2025-04-01,2025-09-01,2025-04-01,2025-09-01,5,29555000.0,25230925.0,27756562.5,30579350.0,33399287.5,35999685.0,-1024350.0,1,1,Forecast high
2025-04-01,2025-10-01,2025-04-01,2025-10-01,6,17019600.0,16925940.0,19060075.0,21318425.0,24013700.0,26496715.0,-4298825.0,1,0,Forecast high
2025-05-01,2025-06-01,2025-05-01,2025-06-01,1,27145550.0,15766950.0,18092637.5,20860975.0,23108287.5,24868880.0,6284575.0,0,0,Forecast low
2025-05-01,2025-07-01,2025-05-01,2025-07-01,2,19053900.0,16374010.0,18323937.5,20699100.0,23322562.5,25867520.0,-1645200.0,1,1,Forecast high
2025-05-01,2025-08-01,2025-05-01,2025-08-01,3,20209200.0,18224280.0,20153462.5,22329625.0,24508287.5,26629415.0,-2120425.0,1,1,Forecast high
2025-05-01,2025-09-01,2025-05-01,2025-09-01,4,29555000.0,25404230.0,27880250.0,30633675.0,33275325.0,35608690.0,-1078675.0,1,1,Forecast high
2025-05-01,2025-10-01,2025-05-01,2025-10-01,5,23088250.0,21165590.0,23651375.0,26496100.0,29346487.5,31912140.0,-3407850.0,1,0,Forecast high
2025-05-01,2025-11-01,2025-05-01,2025-11-01,6,17684700.0,14608725.0,16696775.0,19438725.0,22440950.0,25049140.0,-1754025.0,1,1,Forecast high
