month,date_key,scope,layer,p10,p25,p50,p75,p90
2026-12-01,2026-12-01,APAC,all,905480.0000000003,1654350.0,3184925.0,5774700.0,7542649.999999999
2026-01-01,2026-01-01,North America,all,16425285.0,18363750.0,20339150.0,22394437.5,24107350.0
2026-02-01,2026-02-01,North America,all,14703450.0,16503512.5,18546350.0,20534200.0,22426600.0
2026-03-01,2026-03-01,North America,all,14602605.0,16458900.0,18525600.0,20625500.0,22614180.0
2026-04-01,2026-04-01,North America,all,17312970.0,19734287.5,22538650.0,25175975.0,27443950.0
2026-05-01,2026-05-01,North America,all,15084835.0,17371900.0,20027900.0,22611275.0,25062265.0
2026-06-01,2026-06-01,North America,all,15101435.0,17376050.0,20152400.0,23485887.5,26863365.0
2026-07-01,2026-07-01,North America,all,16562235.0,21183675.0,25331600.0,29025100.0,32731880.0
2026-08-01,2026-08-01,North America,all,11980220.0,14407762.5,17689375.0,21966987.5,26269915.0
2026-09-01,2026-09-01,North America,all,12826820.0,15118450.0,18382425.0,22240887.5,26946365.0
2026-10-01,2026-10-01,North America,all,13722805.0,16396650.0,19471800.0,23379025.0,27539815.0
2026-11-01,2026-11-01,North America,all,16338135.0,18998700.0,22472250.0,26776837.5,30789265.0
2026-12-01,2026-12-01,North America,all,13843985.0,16403912.5,19938675.0,23772237.5,28203815.0
2026-01-01,2026-01-01,India (in APAC),all,0.0,0.0,138450.0,596400.0,734850.0
2026-02-01,2026-02-01,India (in APAC),all,0.0,670950.0,905250.0,1267350.0,1618800.0
2026-03-01,2026-03-01,India (in APAC),all,0.0,223650.0,493450.0,809400.0,1089850.0
2026-04-01,2026-04-01,India (in APAC),all,0.0,138450.0,596400.0,1757250.0,2287264.999999999
2026-05-01,2026-05-01,India (in APAC),all,0.0,482800.0,834250.0,1618800.0,2365364.999999999
2026-06-01,2026-06-01,India (in APAC),all,0.0,482800.0,894600.0,1757250.0,2591500.0
2026-07-01,2026-07-01,India (in APAC),all,0.0,351450.0,823600.0,1604600.0,2382759.9999999995
2026-08-01,2026-08-01,India (in APAC),all,0.0,312400.0,685150.0,1320600.0,1991905.0
2026-09-01,2026-09-01,India (in APAC),all,0.0,124250.0,685150.0,1275337.5,2069650.0
2026-10-01,2026-10-01,India (in APAC),all,0.0,223650.0,525400.0,1268237.5,2012850.0
2026-11-01,2026-11-01,India (in APAC),all,0.0,312400.0,717100.0,1618800.0,2367850.0
2026-12-01,2026-12-01,India (in APAC),all,124250.0,453512.5,924775.0,1735950.0,2541800.0
