order_id,market,booked_key,expected_key,actual_key,mw,order_value,material_committed,promised_months,slip_months,cancelled,status
NX-00019,MENA,2024-01-01,2025-01-01,,36.2,2932200.0,1466100.0,12,0.09,True,Cancelled
NX-00020,MENA,2024-01-01,2024-10-01,2024-10-01,34.1,2762100.0,1381050.0,9,0.18,False,On plan
NX-00021,India,2024-01-01,2024-06-01,2026-02-01,18.9,1341900.0,670950.0,5,20.04,False,Slipped 2mo+
NX-00022,India,2024-01-01,2024-08-01,2024-10-01,4.9,347900.0,173950.0,7,1.76,False,On plan
NX-00023,India,2024-01-01,2025-01-01,2026-07-01,19.3,1370300.0,685150.0,12,18.15,False,Slipped 2mo+
NX-00024,Australia/SEA,2024-01-01,2024-07-01,2024-07-01,7.2,604800.0,302400.0,6,0.01,False,On plan
NX-00025,US / Canada,2024-02-01,2024-07-01,2024-08-01,12.3,1020900.0,510450.0,5,0.64,False,On plan
NX-00026,US / Canada,2024-02-01,2024-11-01,2024-12-01,12.2,1012600.0,506300.0,9,1.07,False,On plan
NX-00027,US / Canada,2024-02-01,2024-08-01,2024-08-01,10.8,896400.0000000001,448200.00000000006,6,0.16,False,On plan
NX-00028,US / Canada,2024-02-01,2024-07-01,2024-07-01,16.5,1369500.0,684750.0,5,0.02,False,On plan
NX-00029,US / Canada,2024-02-01,2024-07-01,2024-07-01,7.2,597600.0,298800.0,5,0.08,False,On plan
NX-00030,US / Canada,2024-02-01,2024-07-01,2024-07-01,5.0,415000.0,207500.0,5,0.0,False,On plan
NX-00031,US / Canada,2024-02-01,2024-08-01,2024-08-01,20.5,1701500.0,850750.0,6,0.06,False,On plan
NX-00032,US / Canada,2024-02-01,2024-07-01,2024-08-01,24.5,2033500.0,1016750.0,5,1.39,False,On plan
NX-00033,US / Canada,2024-02-01,2024-07-01,2024-07-01,14.1,1170300.0,585150.0,5,0.06,False,On plan
NX-00034,US / Canada,2024-02-01,2025-11-01,2025-11-01,10.1,838300.0,419150.0,21,0.0,False,On plan
NX-00035,US / Canada,2024-02-01,2024-11-01,2024-11-01,13.4,1112200.0,556100.0,9,0.32,False,On plan
NX-00036,US / Canada,2024-02-01,2024-07-01,2024-07-01,31.8,2639400.0,1319700.0,5,0.35,False,On plan
NX-00037,US / Canada,2024-02-01,2024-12-01,2024-12-01,5.8,481400.0,240700.0,10,0.3,False,On plan
NX-00038,US / Canada,2024-02-01,2024-09-01,2025-04-01,14.3,1186900.0,593450.0,7,6.97,False,Slipped 2mo+
NX-00039,US / Canada,2024-02-01,2025-03-01,2025-03-01,14.1,1170300.0,585150.0,13,0.02,False,On plan
NX-00040,US / Canada,2024-02-01,2024-08-01,2024-08-01,7.2,597600.0,298800.0,6,0.39,False,On plan
NX-00041,US / Canada,2024-02-01,2024-07-01,2024-09-01,16.5,1369500.0,684750.0,5,2.37,False,Slipped 2mo+
NX-00042,US / Canada,2024-02-01,2025-01-01,2025-01-01,34.0,2822000.0,1411000.0,11,0.03,False,On plan
NX-00043,US / Canada,2024-02-01,2024-08-01,2024-09-01,45.5,3776500.0,1888250.0,6,0.5,False,On plan
NX-00044,US / Canada,2024-02-01,2024-07-01,2024-07-01,24.5,2033500.0,1016750.0,5,0.24,False,On plan
NX-00045,US / Canada,2024-02-01,2025-01-01,2025-04-01,8.2,680599.9999999999,340299.99999999994,11,3.04,False,Slipped 2mo+
NX-00046,US / Canada,2024-02-01,2024-12-01,2025-01-01,15.6,1294800.0,647400.0,10,1.46,False,On plan
NX-00047,US / Canada,2024-02-01,2024-08-01,2024-09-01,25.8,2141400.0,1070700.0,6,0.66,False,On plan
NX-00048,US / Canada,2024-02-01,2024-08-01,2024-09-01,5.5,456500.0,228250.0,6,0.99,False,On plan
NX-00049,US / Canada,2024-02-01,2024-07-01,2024-07-01,16.2,1344600.0,672300.0,5,0.0,False,On plan
NX-00050,US / Canada,2024-02-01,2024-07-01,2024-08-01,8.8,730400.0000000001,365200.00000000006,5,1.32,False,On plan
NX-00051,US / Canada,2024-02-01,2025-09-01,2025-09-01,30.1,2498300.0,1249150.0,19,0.0,False,On plan
NX-00052,Europe,2024-02-01,2024-10-01,2024-12-01,14.6,1284800.0,642400.0,8,1.61,False,On plan
NX-00053,Europe,2024-02-01,2024-11-01,2025-02-01,1.9,167200.0,83600.0,9,3.04,False,Slipped 2mo+
NX-00054,India,2024-02-01,2024-09-01,2025-05-01,4.1,291100.0,145550.0,7,8.19,False,Slipped 2mo+
NX-00055,India,2024-02-01,2025-03-01,2025-03-01,8.8,624800.0,312400.0,13,0.16,False,On plan
NX-00056,India,2024-02-01,2025-02-01,2025-02-01,10.7,759700.0,379850.0,12,0.05,False,On plan
NX-00057,India,2024-02-01,2024-10-01,,21.3,1512300.0,756150.0,8,20.23,True,Cancelled
NX-00058,LATAM,2024-02-01,2024-07-01,2025-04-01,6.4,505600.0,252800.0,5,8.66,False,Slipped 2mo+
NX-00059,LATAM,2024-02-01,2024-08-01,2024-12-01,11.8,932200.0,466100.0,6,3.54,False,Slipped 2mo+
NX-00060,US / Canada,2024-03-01,2024-11-01,2024-12-01,7.2,597600.0,298800.0,8,0.5,False,On plan
NX-00061,US / Canada,2024-03-01,2024-09-01,2024-09-01,18.9,1568699.9999999998,784349.9999999999,6,0.0,False,On plan
NX-00062,US / Canada,2024-03-01,2024-09-01,2024-10-01,32.5,2697500.0,1348750.0,6,0.7,False,On plan
NX-00063,US / Canada,2024-03-01,2025-03-01,2025-04-01,10.2,846599.9999999999,423299.99999999994,12,1.45,False,On plan
NX-00064,US / Canada,2024-03-01,2024-11-01,2024-11-01,82.5,6847500.0,3423750.0,8,0.03,False,On plan
NX-00065,US / Canada,2024-03-01,2024-09-01,2024-09-01,29.9,2481700.0,1240850.0,6,0.48,False,On plan
NX-00066,US / Canada,2024-03-01,2025-03-01,2025-04-01,5.6,464800.0,232400.0,12,0.94,False,On plan
NX-00067,US / Canada,2024-03-01,2024-08-01,2024-09-01,11.3,937900.0,468950.0,5,1.46,False,On plan
NX-00068,US / Canada,2024-03-01,2024-12-01,2024-12-01,5.7,473100.0,236550.0,9,0.0,False,On plan
NX-00069,US / Canada,2024-03-01,2025-07-01,2025-07-01,10.5,871500.0,435750.0,16,0.03,False,On plan
NX-00070,US / Canada,2024-03-01,2025-10-01,2025-10-01,5.4,448200.00000000006,224100.00000000003,19,0.32,False,On plan
NX-00071,US / Canada,2024-03-01,2025-02-01,2025-02-01,28.0,2324000.0,1162000.0,11,0.01,False,On plan
NX-00072,US / Canada,2024-03-01,2024-11-01,2024-11-01,3.5,290500.0,145250.0,8,0.0,False,On plan
NX-00073,US / Canada,2024-03-01,2024-08-01,2024-08-01,6.8,564400.0,282200.0,5,0.18,False,On plan
NX-00074,US / Canada,2024-03-01,2024-11-01,2025-04-01,43.1,3577300.0,1788650.0,8,4.89,False,Slipped 2mo+
NX-00075,US / Canada,2024-03-01,2024-10-01,2024-10-01,22.9,1900700.0,950350.0,7,0.02,False,On plan
NX-00076,US / Canada,2024-03-01,2024-10-01,2024-10-01,11.1,921300.0,460650.0,7,0.02,False,On plan
NX-00077,US / Canada,2024-03-01,2025-11-01,2025-11-01,43.5,3610500.0,1805250.0,20,0.0,False,On plan
NX-00078,US / Canada,2024-03-01,2025-01-01,2025-02-01,8.6,713800.0,356900.0,10,0.65,False,On plan
NX-00079,US / Canada,2024-03-01,2024-08-01,2024-09-01,5.5,456500.0,228250.0,5,0.68,False,On plan
NX-00080,US / Canada,2024-03-01,2024-08-01,2024-08-01,51.5,4274500.0,2137250.0,5,0.01,False,On plan
NX-00081,US / Canada,2024-03-01,2024-12-01,2024-12-01,13.8,1145400.0,572700.0,9,0.32,False,On plan
NX-00082,US / Canada,2024-03-01,2024-09-01,2024-09-01,18.7,1552100.0,776050.0,6,0.04,False,On plan
NX-00083,US / Canada,2024-03-01,2025-03-01,2025-03-01,36.2,3004600.0000000005,1502300.0000000002,12,0.0,False,On plan
NX-00084,Europe,2024-03-01,2025-01-01,2025-02-01,45.0,3960000.0,1980000.0,10,0.76,False,On plan
NX-00085,Europe,2024-03-01,2024-10-01,2024-10-01,20.2,1777600.0,888800.0,7,0.14,False,On plan
NX-00086,Europe,2024-03-01,2024-12-01,2024-12-01,16.5,1452000.0,726000.0,9,0.45,False,On plan
NX-00087,MENA,2024-03-01,2024-08-01,2024-08-01,12.2,988200.0,494100.0,5,0.03,False,On plan
NX-00088,MENA,2024-03-01,2024-08-01,2025-01-01,5.1,413100.0,206550.0,5,4.69,False,Slipped 2mo+
NX-00089,MENA,2024-03-01,2024-08-01,2024-08-01,5.0,405000.0,202500.0,5,0.22,False,On plan
NX-00090,MENA,2024-03-01,2024-09-01,2024-10-01,33.2,2689200.0,1344600.0,6,0.71,False,On plan
NX-00091,Australia/SEA,2024-03-01,2025-07-01,2025-07-01,12.3,1033200.0,516600.0,16,0.12,False,On plan
NX-00092,Australia/SEA,2024-03-01,2025-07-01,2025-07-01,26.3,2209200.0,1104600.0,16,0.3,False,On plan
NX-00093,LATAM,2024-03-01,2025-04-01,2025-05-01,8.9,703100.0,351550.0,13,1.41,False,On plan
NX-00094,LATAM,2024-03-01,2024-08-01,2024-10-01,7.1,560900.0,280450.0,5,1.82,False,On plan
NX-00095,LATAM,2024-03-01,2025-08-01,2025-11-01,9.4,742600.0,371300.0,17,3.24,False,Slipped 2mo+
NX-00096,US / Canada,2024-04-01,2024-10-01,2024-12-01,17.5,1452500.0,726250.0,6,2.47,False,Slipped 2mo+
NX-00097,US / Canada,2024-04-01,2025-01-01,2025-01-01,8.1,672300.0,336150.0,9,0.03,False,On plan
NX-00098,US / Canada,2024-04-01,2024-09-01,2024-09-01,40.4,3353200.0,1676600.0,5,0.46,False,On plan
NX-00099,US / Canada,2024-04-01,2024-11-01,2024-11-01,21.9,1817700.0,908850.0,7,0.06,False,On plan
NX-00100,US / Canada,2024-04-01,2025-04-01,2025-04-01,5.3,439900.0,219950.0,12,0.0,False,On plan
NX-00101,US / Canada,2024-04-01,2024-10-01,2024-10-01,10.3,854900.0000000001,427450.00000000006,6,0.1,False,On plan
NX-00102,US / Canada,2024-04-01,2025-02-01,2025-02-01,12.9,1070700.0,535350.0,10,0.0,False,On plan
NX-00103,US / Canada,2024-04-01,2025-12-01,2026-03-01,5.7,473100.0,236550.0,20,3.28,False,Slipped 2mo+
NX-00104,US / Canada,2024-04-01,2025-04-01,2025-05-01,24.8,2058400.0,1029200.0,12,1.24,False,On plan
NX-00105,US / Canada,2024-04-01,2024-09-01,2024-09-01,4.5,373500.0,186750.0,5,0.15,False,On plan
NX-00106,US / Canada,2024-04-01,2024-09-01,2024-09-01,10.8,896400.0000000001,448200.00000000006,5,0.0,False,On plan
NX-00107,US / Canada,2024-04-01,2024-12-01,2024-12-01,30.1,2498300.0,1249150.0,8,0.07,False,On plan
NX-00108,US / Canada,2024-04-01,2024-09-01,2024-09-01,8.6,713800.0,356900.0,5,0.25,False,On plan
NX-00109,US / Canada,2024-04-01,2024-12-01,2024-12-01,15.0,1245000.0,622500.0,8,0.02,False,On plan
NX-00110,US / Canada,2024-04-01,2024-09-01,2025-03-01,5.1,423300.0,211650.0,5,6.26,False,Slipped 2mo+
NX-00111,US / Canada,2024-04-01,2025-01-01,2025-01-01,98.4,8167200.000000001,4083600.0000000005,9,0.21,False,On plan
NX-00112,US / Canada,2024-04-01,2024-11-01,2024-11-01,21.8,1809400.0,904700.0,7,0.03,False,On plan
NX-00113,US / Canada,2024-04-01,2024-11-01,2024-12-01,21.3,1767900.0,883950.0,7,0.52,False,On plan
NX-00114,US / Canada,2024-04-01,2025-04-01,2025-04-01,8.6,713800.0,356900.0,12,0.01,False,On plan
NX-00115,US / Canada,2024-04-01,2024-10-01,2024-10-01,4.0,332000.0,166000.0,6,0.0,False,On plan
NX-00116,US / Canada,2024-04-01,2024-09-01,2024-12-01,11.0,913000.0,456500.0,5,2.72,False,Slipped 2mo+
NX-00117,US / Canada,2024-04-01,2024-11-01,2024-11-01,15.2,1261600.0,630800.0,7,0.15,False,On plan
NX-00118,US / Canada,2024-04-01,2024-09-01,2024-10-01,11.3,937900.0,468950.0,5,1.03,False,On plan
NX-00119,US / Canada,2024-04-01,2025-04-01,2025-05-01,18.7,1552100.0,776050.0,12,0.5,False,On plan
NX-00120,US / Canada,2024-04-01,2025-03-01,2025-03-01,3.8,315400.0,157700.0,11,0.11,False,On plan
NX-00121,US / Canada,2024-04-01,2024-09-01,2024-10-01,5.8,481400.0,240700.0,5,1.25,False,On plan
NX-00122,US / Canada,2024-04-01,2024-11-01,2025-01-01,4.4,365200.00000000006,182600.00000000003,7,1.73,False,On plan
NX-00123,US / Canada,2024-04-01,2024-09-01,2025-03-01,26.3,2182900.0,1091450.0,5,5.73,False,Slipped 2mo+
NX-00124,US / Canada,2024-04-01,2024-10-01,2024-10-01,6.4,531200.0,265600.0,6,0.01,False,On plan
NX-00125,US / Canada,2024-04-01,2024-09-01,2024-10-01,55.3,4589900.0,2294950.0,5,1.22,False,On plan
NX-00126,US / Canada,2024-04-01,2024-12-01,2024-12-01,6.7,556100.0,278050.0,8,0.01,False,On plan
NX-00127,US / Canada,2024-04-01,2025-05-01,2025-05-01,27.9,2315700.0,1157850.0,13,0.21,False,On plan
NX-00128,US / Canada,2024-04-01,2024-09-01,2024-10-01,14.2,1178600.0,589300.0,5,0.85,False,On plan
NX-00129,Europe,2024-04-01,2025-04-01,2025-05-01,23.3,2050400.0,1025200.0,12,0.85,False,On plan
NX-00130,Europe,2024-04-01,2024-09-01,,5.9,519200.00000000006,259600.00000000003,5,0.88,True,Cancelled
NX-00131,MENA,2024-04-01,2024-12-01,2025-02-01,16.5,1336500.0,668250.0,8,1.68,False,On plan
NX-00132,MENA,2024-04-01,2024-12-01,2025-05-01,37.1,3005100.0,1502550.0,8,4.63,False,Slipped 2mo+
NX-00133,India,2024-04-01,2024-09-01,2024-10-01,11.2,795200.0,397600.0,5,0.86,False,On plan
NX-00134,Australia/SEA,2024-04-01,2025-03-01,2025-04-01,8.9,747600.0,373800.0,11,1.05,False,On plan
NX-00135,Australia/SEA,2024-04-01,2024-09-01,2025-03-01,27.3,2293200.0,1146600.0,5,6.49,False,Slipped 2mo+
NX-00136,LATAM,2024-04-01,2025-03-01,2026-08-01,14.6,1153400.0,576700.0,11,16.53,False,Slipped 2mo+
NX-00137,LATAM,2024-04-01,2024-09-01,2024-10-01,10.4,821600.0,410800.0,5,0.91,False,On plan
NX-00138,US / Canada,2024-05-01,2024-12-01,2025-01-01,28.3,2348900.0,1174450.0,7,1.06,False,On plan
NX-00139,US / Canada,2024-05-01,2025-02-01,2025-02-01,10.5,871500.0,435750.0,9,0.03,False,On plan
NX-00140,US / Canada,2024-05-01,2025-01-01,2025-01-01,15.0,1245000.0,622500.0,8,0.06,False,On plan
NX-00141,US / Canada,2024-05-01,2025-01-01,2025-01-01,7.8,647400.0,323700.0,8,0.07,False,On plan
NX-00142,US / Canada,2024-05-01,2024-11-01,2024-12-01,6.4,531200.0,265600.0,6,0.77,False,On plan
NX-00143,US / Canada,2024-05-01,2024-11-01,2024-11-01,44.0,3652000.0,1826000.0,6,0.0,False,On plan
NX-00144,US / Canada,2024-05-01,2025-01-01,2025-01-01,22.7,1884100.0,942050.0,8,0.01,False,On plan
NX-00145,US / Canada,2024-05-01,2024-10-01,2024-11-01,4.5,373500.0,186750.0,5,0.78,False,On plan
NX-00146,US / Canada,2024-05-01,2024-10-01,2024-10-01,26.3,2182900.0,1091450.0,5,0.09,False,On plan
NX-00147,US / Canada,2024-05-01,2024-11-01,2024-12-01,11.3,937900.0,468950.0,6,0.8,False,On plan
NX-00148,US / Canada,2024-05-01,2025-03-01,2025-03-01,13.8,1145400.0,572700.0,10,0.02,False,On plan
NX-00149,US / Canada,2024-05-01,2024-11-01,2024-12-01,14.9,1236700.0,618350.0,6,0.92,False,On plan
NX-00150,US / Canada,2024-05-01,2024-12-01,2024-12-01,16.6,1377800.0000000002,688900.0000000001,7,0.01,False,On plan
NX-00151,US / Canada,2024-05-01,2025-03-01,2025-03-01,2.8,232400.0,116200.0,10,0.07,False,On plan
NX-00152,US / Canada,2024-05-01,2025-05-01,,7.4,614200.0,307100.0,12,0.64,True,Cancelled
NX-00153,US / Canada,2024-05-01,2024-11-01,2024-11-01,96.3,7992900.0,3996450.0,6,0.49,False,On plan
NX-00154,US / Canada,2024-05-01,2025-05-01,2025-06-01,16.8,1394400.0,697200.0,12,0.71,False,On plan
NX-00155,US / Canada,2024-05-01,2025-02-01,2025-02-01,44.2,3668600.000000001,1834300.0000000005,9,0.13,False,On plan
NX-00156,US / Canada,2024-05-01,2024-11-01,2024-11-01,62.7,5204100.0,2602050.0,6,0.2,False,On plan
NX-00157,US / Canada,2024-05-01,2024-12-01,2024-12-01,76.0,6308000.0,3154000.0,7,0.0,False,On plan
NX-00158,US / Canada,2024-05-01,2024-12-01,,39.4,3270200.0,1635100.0,7,0.69,True,Cancelled
NX-00159,US / Canada,2024-05-01,2024-11-01,2024-11-01,14.3,1186900.0,593450.0,6,0.09,False,On plan
NX-00160,US / Canada,2024-05-01,2024-10-01,2024-10-01,17.4,1444199.9999999998,722099.9999999999,5,0.03,False,On plan
NX-00161,US / Canada,2024-05-01,2024-11-01,2024-11-01,3.6,298800.0,149400.0,6,0.01,False,On plan
NX-00162,US / Canada,2024-05-01,2026-02-01,2026-04-01,39.2,3253600.0000000005,1626800.0000000002,21,1.91,False,On plan
NX-00163,US / Canada,2024-05-01,2024-10-01,2024-10-01,17.7,1469100.0,734550.0,5,0.04,False,On plan
NX-00164,US / Canada,2024-05-01,2025-02-01,2025-02-01,9.0,747000.0,373500.0,9,0.15,False,On plan
NX-00165,US / Canada,2024-05-01,2025-02-01,2025-02-01,45.0,3735000.0,1867500.0,9,0.03,False,On plan
NX-00166,Europe,2024-05-01,2025-05-01,2025-05-01,12.3,1082400.0,541200.0,12,0.14,False,On plan
NX-00167,India,2024-05-01,2024-10-01,2024-12-01,12.5,887500.0,443750.0,5,1.65,False,On plan
NX-00168,Australia/SEA,2024-05-01,2025-03-01,2025-03-01,22.5,1890000.0,945000.0,10,0.21,False,On plan
NX-00169,Australia/SEA,2024-05-01,2025-01-01,2025-03-01,5.1,428400.0,214200.0,8,1.77,False,On plan
NX-00170,LATAM,2024-05-01,2024-12-01,2024-12-01,25.5,2014500.0,1007250.0,7,0.37,False,On plan
NX-00171,LATAM,2024-05-01,2025-03-01,2025-05-01,19.4,1532600.0,766300.0,10,1.51,False,On plan
NX-00172,LATAM,2024-05-01,2025-01-01,2025-07-01,12.7,1003300.0,501650.0,8,6.16,False,Slipped 2mo+
NX-00173,US / Canada,2024-06-01,2025-04-01,2025-04-01,6.0,498000.0,249000.0,10,0.45,False,On plan
NX-00174,US / Canada,2024-06-01,2025-02-01,2025-04-01,12.1,1004300.0,502150.0,8,1.72,False,On plan
NX-00175,US / Canada,2024-06-01,2025-08-01,2025-08-01,7.8,647400.0,323700.0,14,0.0,False,On plan
NX-00176,US / Canada,2024-06-01,2024-11-01,2024-11-01,84.5,7013500.0,3506750.0,5,0.02,False,On plan
NX-00177,US / Canada,2024-06-01,2024-11-01,2024-11-01,14.0,1162000.0,581000.0,5,0.07,False,On plan
NX-00178,US / Canada,2024-06-01,2025-04-01,2025-04-01,32.2,2672600.0000000005,1336300.0000000002,10,0.41,False,On plan
NX-00179,US / Canada,2024-06-01,2024-11-01,2024-11-01,60.6,5029800.0,2514900.0,5,0.05,False,On plan
NX-00180,US / Canada,2024-06-01,2024-12-01,2024-12-01,13.3,1103900.0,551950.0,6,0.0,False,On plan
NX-00181,US / Canada,2024-06-01,2025-02-01,2025-02-01,13.0,1079000.0,539500.0,8,0.0,False,On plan
NX-00182,US / Canada,2024-06-01,2025-01-01,2025-01-01,17.7,1469100.0,734550.0,7,0.0,False,On plan
NX-00183,US / Canada,2024-06-01,2025-08-01,2025-08-01,17.5,1452500.0,726250.0,14,0.01,False,On plan
NX-00184,US / Canada,2024-06-01,2025-01-01,2025-01-01,46.2,3834600.000000001,1917300.0000000005,7,0.1,False,On plan
NX-00185,US / Canada,2024-06-01,2024-11-01,2024-12-01,51.3,4257900.0,2128950.0,5,0.64,False,On plan
NX-00186,US / Canada,2024-06-01,2025-01-01,2025-01-01,68.7,5702100.0,2851050.0,7,0.0,False,On plan
NX-00187,US / Canada,2024-06-01,2024-11-01,2024-11-01,42.3,3510899.9999999995,1755449.9999999998,5,0.04,False,On plan
NX-00188,US / Canada,2024-06-01,2025-05-01,2025-05-01,30.9,2564700.0,1282350.0,11,0.0,False,On plan
NX-00189,US / Canada,2024-06-01,2025-03-01,2025-03-01,4.0,332000.0,166000.0,9,0.22,False,On plan
NX-00190,US / Canada,2024-06-01,2024-11-01,2024-11-01,22.3,1850900.0,925450.0,5,0.47,False,On plan
NX-00191,US / Canada,2024-06-01,2024-11-01,2025-01-01,22.6,1875800.0,937900.0,5,1.64,False,On plan
NX-00192,US / Canada,2024-06-01,2024-12-01,2024-12-01,9.1,755300.0,377650.0,6,0.0,False,On plan
NX-00193,US / Canada,2024-06-01,2024-11-01,2024-12-01,9.7,805099.9999999999,402549.99999999994,5,0.81,False,On plan
NX-00194,Europe,2024-06-01,2025-01-01,2025-03-01,40.3,3546399.9999999995,1773199.9999999998,7,1.53,False,On plan
NX-00195,Europe,2024-06-01,2024-12-01,2025-02-01,4.0,352000.0,176000.0,6,2.05,False,Slipped 2mo+
NX-00196,Europe,2024-06-01,2024-11-01,,24.8,2182400.0,1091200.0,5,0.84,True,Cancelled
NX-00197,Europe,2024-06-01,2024-11-01,2024-12-01,17.9,1575199.9999999998,787599.9999999999,5,1.07,False,On plan
NX-00198,Europe,2024-06-01,2024-11-01,2024-11-01,7.5,660000.0,330000.0,5,0.21,False,On plan
NX-00199,Europe,2024-06-01,2025-06-01,2025-12-01,11.3,994400.0,497200.0,12,6.45,False,Slipped 2mo+
NX-00200,Europe,2024-06-01,2024-11-01,2024-12-01,25.0,2200000.0,1100000.0,5,0.51,False,On plan
NX-00201,India,2024-06-01,2025-12-01,2026-01-01,7.2,511200.0,255600.0,18,1.42,False,On plan
NX-00202,Australia/SEA,2024-06-01,2025-01-01,,30.4,2553600.0,1276800.0,7,0.02,True,Cancelled
NX-00203,Australia/SEA,2024-06-01,2024-11-01,2024-12-01,16.5,1386000.0,693000.0,5,1.47,False,On plan
NX-00204,LATAM,2024-06-01,2024-11-01,2025-07-01,25.5,2014500.0,1007250.0,5,8.39,False,Slipped 2mo+
NX-00205,LATAM,2024-06-01,2025-05-01,2025-11-01,19.6,1548400.0,774200.0,11,6.36,False,Slipped 2mo+
NX-00206,US / Canada,2024-07-01,2024-12-01,2024-12-01,4.7,390100.0,195050.0,5,0.21,False,On plan
NX-00207,US / Canada,2024-07-01,2024-12-01,2024-12-01,51.3,4257900.0,2128950.0,5,0.0,False,On plan
NX-00208,US / Canada,2024-07-01,2025-03-01,2025-04-01,13.8,1145400.0,572700.0,8,0.55,False,On plan
NX-00209,US / Canada,2024-07-01,2025-09-01,2025-09-01,30.8,2556400.0,1278200.0,14,0.0,False,On plan
NX-00210,US / Canada,2024-07-01,2024-12-01,2025-01-01,29.0,2407000.0,1203500.0,5,0.51,False,On plan
NX-00211,US / Canada,2024-07-01,2024-12-01,2024-12-01,12.4,1029200.0,514600.0,5,0.0,False,On plan
NX-00212,US / Canada,2024-07-01,2025-03-01,2025-03-01,31.5,2614500.0,1307250.0,8,0.0,False,On plan
NX-00213,US / Canada,2024-07-01,2025-05-01,2025-05-01,8.9,738700.0,369350.0,10,0.46,False,On plan
NX-00214,US / Canada,2024-07-01,2025-01-01,2025-01-01,9.7,805099.9999999999,402549.99999999994,6,0.05,False,On plan
NX-00215,US / Canada,2024-07-01,2025-01-01,2025-01-01,18.2,1510600.0,755300.0,6,0.0,False,On plan
NX-00216,US / Canada,2024-07-01,2024-12-01,2024-12-01,20.7,1718100.0,859050.0,5,0.01,False,On plan
NX-00217,US / Canada,2024-07-01,2025-03-01,2025-03-01,47.5,3942500.0,1971250.0,8,0.16,False,On plan
NX-00218,US / Canada,2024-07-01,2025-01-01,2025-02-01,8.2,680599.9999999999,340299.99999999994,6,0.64,False,On plan
NX-00219,US / Canada,2024-07-01,2025-05-01,2025-06-01,8.4,697200.0,348600.0,10,0.99,False,On plan
NX-00220,US / Canada,2024-07-01,2025-03-01,2025-03-01,4.7,390100.0,195050.0,8,0.11,False,On plan
NX-00221,US / Canada,2024-07-01,2025-06-01,2025-06-01,18.7,1552100.0,776050.0,11,0.4,False,On plan
NX-00222,US / Canada,2024-07-01,2025-02-01,2025-02-01,3.5,290500.0,145250.0,7,0.12,False,On plan
NX-00223,Europe,2024-07-01,2024-12-01,2025-01-01,20.9,1839200.0,919600.0,5,0.8,False,On plan
NX-00224,Europe,2024-07-01,2025-03-01,2025-03-01,5.4,475200.00000000006,237600.00000000003,8,0.13,False,On plan
NX-00225,Europe,2024-07-01,2024-12-01,2025-04-01,5.2,457600.0,228800.0,5,4.29,False,Slipped 2mo+
NX-00226,Europe,2024-07-01,2025-04-01,2025-04-01,41.7,3669600.000000001,1834800.0000000005,9,0.05,False,On plan
NX-00227,MENA,2024-07-01,2025-08-01,2025-08-01,25.5,2065500.0,1032750.0,13,0.29,False,On plan
NX-00228,MENA,2024-07-01,2025-12-01,2027-04-01,5.3,429300.0,214650.0,17,16.02,False,Slipped 2mo+
