region,month,orders_booked,mw_booked,value_booked,mw_converted,value_converted,backlog_value,backlog_mw,committed_material,material_in_horizon,mw_in_horizon,book_to_bill
EMEA,2024-09-01,4,51.8,4558400.0,34.6,3044800.0,64271900.0,748.3000000000001,48203925.0,20857425.0,325.40000000000003,1.4971098265895955
EMEA,2024-10-01,2,39.1,3239200.0,43.3,3703300.0,63807800.0,744.0999999999999,47855850.0,17269575.0,268.7,0.8746793400480652
EMEA,2024-11-01,3,39.3,3458400.0,42.2,3713600.0,63552600.0,741.1999999999998,47664450.0,23528700.0,365.49999999999994,0.9312796208530806
EMEA,2024-12-01,4,63.50000000000001,5455700.0,97.0,8450600.0,60557700.0,707.7,45418275.0,22491300.0,348.7,0.645599129055925
EMEA,2025-01-01,2,36.1,2924100.0,69.09999999999998,6080800.0,55068200.0,645.9,41301150.0,19186200.0,296.3,0.4808742270753848
EMEA,2025-02-01,5,67.3,5922400.0,56.8,4849300.0,56141300.0,656.4,42105975.0,21776100.0,335.7,1.2212896706741179
EMEA,2025-03-01,6,94.19999999999999,7901800.0,106.39999999999999,9057300.0,54985800.0,644.2,41239350.0,12090675.0,186.70000000000002,0.8724233491217029
EMEA,2025-04-01,9,156.1,13359500.0,131.2,11412600.0,56932700.0,669.0999999999999,42699525.0,11718450.0,180.4,1.170592152533165
EMEA,2025-05-01,8,129.5,10729600.0,91.8,7535200.0,60127100.0,706.8,45095325.0,18514650.0,287.7,1.4239303535407155
EMEA,2025-06-01,4,90.5,7756100.0,104.0,8991700.0,58891500.0,693.3000000000001,44168625.0,18322575.0,286.5,0.8625843833757799
EMEA,2025-07-01,9,150.8,12862300.0,45.099999999999994,3770000.0,67983800.0,799.0000000000001,50987850.0,16088775.0,253.80000000000004,3.4117506631299737
EMEA,2025-08-01,9,209.89999999999998,17467400.0,34.0,2935300.0,82515900.0,974.8999999999999,61886925.0,23405100.0,370.49999999999994,5.950805709808197
EMEA,2025-09-01,9,199.3,16737600.0,106.59999999999998,8857200.0,90396300.0,1067.6000000000001,67797225.0,23127450.0,362.99999999999994,1.8897168405365126
EMEA,2025-10-01,4,72.5,6071300.0,96.7,8283500.0,88184100.0,1043.3999999999999,66138075.0,28003350.0,439.20000000000005,0.7329389750709241
EMEA,2025-11-01,9,142.10000000000002,12166000.0,15.299999999999999,1346400.0,99003700.0,1170.2,74252775.0,34979550.0,553.3,9.0359477124183
EMEA,2025-12-01,6,134.6,11760100.0,160.9,13657300.0,97106500.0,1143.9000000000003,72829875.0,35567925.0,565.4999999999999,0.8610852803994933
APAC,2024-01-01,4,74.0,5585500.0,0.0,0.0,5585500.0,74.0,4189125.0,0.0,0.0,
APAC,2024-02-01,5,137.70000000000002,10373400.0,0.0,0.0,15958900.0,211.70000000000002,11969175.0,0.0,0.0,
APAC,2024-03-01,3,103.39999999999999,7341400.0,0.0,0.0,23300300.0,315.1,17475225.0,1799850.0,33.8,
APAC,2024-04-01,4,87.8,6374200.0,0.0,0.0,27331500.0,369.90000000000003,20498625.0,1799850.0,33.8,
APAC,2024-05-01,1,20.5,1722000.0,0.0,0.0,29053500.0,390.40000000000003,21790125.0,5624025.0,99.5,
APAC,2024-06-01,6,88.2,6705500.0,0.0,0.0,34885700.0,466.3,26164275.0,8306175.0,145.2,
APAC,2024-07-01,2,18.9,1341900.0,0.0,0.0,35688000.0,477.6,26766000.0,9607725.0,163.60000000000002,
APAC,2024-08-01,4,106.1,7832100.0,0.0,0.0,43520100.0,583.6999999999999,32640075.0,14260575.0,249.0,
APAC,2024-09-01,0,0.0,0.0,19.3,1370300.0,42149800.0,564.4,31612350.0,20905350.0,379.9,0.0
APAC,2024-10-01,5,110.8,8338700.0,40.2,3185700.0,47302800.0,634.9999999999999,35477100.0,21345975.0,386.6,2.6175408858335687
APAC,2024-11-01,3,26.7,2015300.0,33.4,2805600.0,45866400.0,619.1999999999999,34399800.0,19304250.0,354.29999999999995,0.718313373253493
APAC,2024-12-01,2,97.8,7760200.0,107.6,8068600.0,40282800.0,546.5999999999999,30212100.0,17496300.0,318.70000000000005,0.961777755744491
APAC,2025-01-01,4,52.9,4204400.0,15.3,1226700.0,43260500.0,584.1999999999999,32445375.0,7437375.0,129.8,3.4274068639439146
APAC,2025-02-01,3,62.4,5241600.0,79.3,5630300.0,42208200.0,559.4,31656150.0,5763600.0,100.39999999999999,0.9309628261371508
APAC,2025-03-01,5,59.4,4677600.0,33.7,2392700.0,44493100.0,585.0999999999999,33369825.0,9006525.0,161.3,1.9549462949805658
APAC,2025-04-01,4,76.0,5532500.0,19.8,1663200.0,48362400.0,641.3,36271800.0,6905025.0,124.60000000000001,3.3264189514189515
APAC,2025-05-01,4,76.3,5564200.0,118.5,8413500.0,45513100.0,599.0999999999999,34134825.0,13848300.0,242.09999999999997,0.6613418910084983
APAC,2025-06-01,7,171.79999999999998,12556600.0,54.0,4277300.0,53792400.0,716.9,40344300.0,14730825.0,261.2,2.9356369672456926
APAC,2025-07-01,0,0.0,0.0,48.0,3707000.0,50085400.0,668.8999999999999,37564050.0,14714250.0,253.39999999999998,0.0
APAC,2025-08-01,1,17.6,1478400.0000000002,39.7,2879800.0,48684000.0,646.8000000000001,36513000.0,16833825.0,291.3,0.5133689839572193
APAC,2025-09-01,2,17.7,1256700.0,44.8,3568200.0,46372500.0,619.6999999999999,34779375.0,13199850.0,230.60000000000002,0.3521943837228855
APAC,2025-10-01,3,27.0,2182200.0,70.7,5234200.0,43320500.0,576.0,32490375.0,14264625.0,249.9,0.41691184899316036
APAC,2025-11-01,4,103.10000000000001,7911600.0,67.9,5529400.0,44559600.0,595.1,33419700.0,15640275.0,280.0,1.4308243209028104
APAC,2025-12-01,4,58.400000000000006,4146400.0,87.0,6373300.0,42332700.0,566.4999999999999,31749525.0,15133500.0,266.4,0.6505891767216355
LATAM,2024-01-01,2,33.7,2662300.0,0.0,0.0,2662300.0,33.7,1996725.0,0.0,0.0,
LATAM,2024-02-01,1,13.6,1074400.0,0.0,0.0,3736700.0,47.300000000000004,2802525.0,0.0,0.0,
LATAM,2024-03-01,3,68.4,5403600.0,0.0,0.0,9140300.0,115.7,6855225.0,0.0,0.0,
LATAM,2024-04-01,2,75.5,5964500.0,0.0,0.0,14741400.0,186.60000000000002,11056050.0,1783425.0,30.1,
LATAM,2024-05-01,5,49.3,3894700.0,0.0,0.0,17909300.0,226.70000000000002,13431975.0,5984250.0,101.0,
LATAM,2024-06-01,5,124.39999999999999,9827600.0,0.0,0.0,27736900.0,351.1,20802675.0,6244950.0,105.4,
LATAM,2024-07-01,1,7.4,584600.0,0.0,0.0,28321500.0,358.5,21241125.0,7607700.0,128.4,
LATAM,2024-08-01,2,91.0,7189000.0,0.0,0.0,35510500.0,449.5,26632875.0,6890775.0,116.30000000000001,
LATAM,2024-09-01,1,44.2,3491800.0,0.0,0.0,39002300.0,493.7,29251725.0,9408900.0,158.8,
LATAM,2024-10-01,1,8.8,695200.0,0.0,0.0,39697500.0,502.5,29773125.0,13200900.0,222.8,
LATAM,2024-11-01,0,0.0,0.0,124.80000000000001,9859200.0,29838300.0,377.7,22378725.0,11838150.0,199.8,0.0
LATAM,2024-12-01,2,12.1,955900.0,12.5,987500.0,29806700.0,377.3,22355025.0,16056750.0,271.0,0.968
LATAM,2025-01-01,3,31.700000000000003,2504300.0,98.8,7805200.0,24505800.0,310.20000000000005,18379350.0,12750600.0,215.2,0.3208502024291498
LATAM,2025-02-01,2,23.5,1856500.0,71.60000000000001,5656400.0,20705900.0,262.1,15529425.0,9805875.0,165.5,0.32821229050279327
LATAM,2025-03-01,3,34.5,2725500.0,0.0,0.0,23431400.0,296.6,17573550.0,10623525.0,179.3,
LATAM,2025-04-01,3,34.8,2749200.0,87.39999999999999,6904600.0,19276000.0,244.0,14457000.0,7187025.0,121.30000000000001,0.39816933638443935
LATAM,2025-05-01,8,121.70000000000002,9614300.0,16.5,1303500.0,27586800.0,349.2,20690100.0,5356200.0,90.39999999999999,7.375757575757576
LATAM,2025-06-01,1,13.3,1050700.0,0.0,0.0,28637500.0,362.5,21478125.0,6013875.0,101.5,
LATAM,2025-07-01,1,7.5,592500.0,13.8,1090200.0,28139800.0,356.20000000000005,21104850.0,5622825.0,94.9,0.5434782608695652
LATAM,2025-08-01,3,90.5,7149500.0,81.60000000000001,6446400.0,28842900.0,365.1,21632175.0,8632725.0,145.7,1.1090686274509804
LATAM,2025-09-01,4,35.3,2788700.0,49.6,3918400.0,27713200.0,350.8,20784900.0,9219300.0,155.60000000000002,0.7116935483870968
LATAM,2025-10-01,2,24.7,1951300.0,8.8,695200.0,28969300.0,366.7,21726975.0,9148200.0,154.4,2.8068181818181817
LATAM,2025-11-01,2,26.900000000000002,2125100.0,14.5,1145500.0,29948900.0,379.1000000000001,22461675.0,9474075.0,159.9,1.8551724137931034
LATAM,2025-12-01,2,57.4,4534600.0,41.800000000000004,3302200.0,31181300.0,394.7,23385975.0,7453650.0,125.8,1.3732057416267942
