order_id,region,market,booked_month,mw,order_value,expected_conversion,actual_conversion,slip_months,reason,material_at_risk
NX-00723,North America,US / Canada,2025-10-01,8.8,730400.0000000001,2026-04-01,2027-01-01,8.63,schedule slip,547800.0000000001
NX-00290,APAC,India,2024-09-01,10.2,724200.0,2025-05-01,2025-08-01,3.12,schedule slip,543150.0
NX-00421,North America,US / Canada,2025-02-01,8.5,705500.0,2025-07-01,,2.39,cancelled,529125.0
NX-00324,EMEA,MENA,2024-10-01,8.6,696600.0,2025-04-01,2025-08-01,3.57,schedule slip,522450.0
NX-00045,North America,US / Canada,2024-02-01,8.2,680599.9999999999,2025-01-01,2025-04-01,3.04,schedule slip,510449.9999999999
NX-00375,LATAM,LATAM,2024-12-01,8.6,679400.0,2025-09-01,2026-01-01,3.92,schedule slip,509550.0
NX-00264,APAC,India,2024-08-01,9.5,674500.0,2025-12-01,2026-05-01,5.22,schedule slip,505875.0
NX-00635,EMEA,MENA,2025-07-01,8.3,672300.0,2027-03-01,2027-09-01,5.75,schedule slip,504225.0
NX-00711,EMEA,MENA,2025-09-01,8.3,672300.0,2026-03-01,2026-09-01,5.68,schedule slip,504225.0
NX-00720,LATAM,LATAM,2025-09-01,8.3,655700.0,2026-02-01,2026-05-01,2.85,schedule slip,491775.0
NX-00432,North America,US / Canada,2025-02-01,7.8,647400.0,2025-07-01,2025-09-01,2.2,schedule slip,485550.0
NX-00323,EMEA,MENA,2024-10-01,7.7,623700.0,2025-08-01,2026-01-01,5.11,schedule slip,467775.0
NX-00777,North America,US / Canada,2025-11-01,7.5,622500.0,2026-05-01,2026-08-01,3.3,schedule slip,466875.0
NX-00809,LATAM,LATAM,2025-11-01,7.8,616200.0,2026-05-01,2026-11-01,5.9,schedule slip,462150.0
NX-00152,North America,US / Canada,2024-05-01,7.4,614200.0,2025-05-01,,0.64,cancelled,460650.0
NX-00750,North America,US / Canada,2025-10-01,7.3,605900.0,2026-06-01,2026-11-01,5.08,schedule slip,454425.0
NX-00267,LATAM,LATAM,2024-08-01,7.5,592500.0,2025-03-01,2025-08-01,4.83,schedule slip,444375.0
NX-00409,LATAM,LATAM,2025-01-01,7.5,592500.0,2025-09-01,2025-12-01,2.6,schedule slip,444375.0
NX-00271,North America,US / Canada,2024-09-01,7.0,581000.0,2025-07-01,,0.49,cancelled,435750.0
NX-00480,EMEA,Europe,2025-03-01,6.6,580800.0,2025-04-01,2025-07-01,2.89,schedule slip,435600.0
NX-00449,LATAM,LATAM,2025-02-01,7.1,560900.0,2025-11-01,2026-05-01,5.61,schedule slip,420675.0
NX-00755,APAC,India,2025-10-01,7.8,553800.0,2026-03-01,,0.03,cancelled,415350.0
NX-00398,EMEA,Europe,2025-01-01,6.0,528000.0,2025-11-01,2026-03-01,3.97,schedule slip,396000.0
NX-00130,EMEA,Europe,2024-04-01,5.9,519200.00000000006,2024-07-01,,0.88,cancelled,389400.00000000006
NX-00790,North America,US / Canada,2025-11-01,6.2,514600.0,2026-02-01,2026-10-01,8.09,schedule slip,385950.0
NX-00058,LATAM,LATAM,2024-02-01,6.4,505600.0,2024-05-01,2025-02-01,8.66,schedule slip,379200.0
NX-00103,North America,US / Canada,2024-04-01,5.7,473100.0,2025-12-01,2026-03-01,3.28,schedule slip,354825.0
NX-00234,LATAM,LATAM,2024-07-01,5.9,466100.0,2025-03-01,2025-05-01,2.02,schedule slip,349575.0
NX-00225,EMEA,Europe,2024-07-01,5.2,457600.0,2024-10-01,2025-02-01,4.29,schedule slip,343200.0
NX-00757,APAC,India,2025-10-01,6.3,447300.0,2026-02-01,2026-09-01,7.25,schedule slip,335475.0
NX-00228,EMEA,MENA,2024-07-01,5.3,429300.0,2025-12-01,2027-04-01,16.02,schedule slip,321975.0
NX-00803,APAC,India,2025-11-01,6.0,426000.0,2027-11-01,2028-03-01,4.21,schedule slip,319500.0
NX-00110,North America,US / Canada,2024-04-01,5.1,423299.99999999994,2024-07-01,2025-01-01,6.26,schedule slip,317474.99999999994
NX-00088,EMEA,MENA,2024-03-01,5.1,413100.0,2024-07-01,2024-12-01,4.69,schedule slip,309825.0
NX-00322,EMEA,Europe,2024-10-01,4.6,404799.99999999994,2025-03-01,2025-07-01,4.15,schedule slip,303599.99999999994
NX-00768,North America,US / Canada,2025-11-01,4.8,398400.0,2027-05-01,2027-08-01,3.07,schedule slip,298800.0
NX-00555,North America,US / Canada,2025-05-01,4.6,381799.99999999994,2026-11-01,2027-01-01,2.35,schedule slip,286349.99999999994
NX-00195,EMEA,Europe,2024-06-01,4.0,352000.0,2024-12-01,2025-02-01,2.05,schedule slip,264000.0
NX-00721,North America,US / Canada,2025-10-01,4.2,348600.0,2026-05-01,,0.0,cancelled,261450.0
NX-00578,North America,US / Canada,2025-06-01,3.9,323700.0,2026-01-01,2026-04-01,3.46,schedule slip,242775.0
NX-00684,North America,US / Canada,2025-09-01,3.6,298800.0,2026-04-01,2026-06-01,2.09,schedule slip,224100.0
NX-00802,EMEA,MENA,2025-11-01,3.6,291600.0,2026-07-01,2027-03-01,7.6,schedule slip,218700.0
NX-00018,EMEA,MENA,2024-01-01,3.6,291600.0,2024-07-01,2024-10-01,2.76,schedule slip,218700.0
NX-00054,APAC,India,2024-02-01,4.1,291100.0,2024-09-01,2025-05-01,8.19,schedule slip,218325.0
NX-00327,APAC,India,2024-10-01,3.9,276900.0,2025-06-01,2027-06-01,23.97,schedule slip,207675.0
NX-00746,North America,US / Canada,2025-10-01,3.1,257300.0,2026-02-01,2026-06-01,3.9,schedule slip,192975.0
NX-00843,APAC,India,2025-12-01,3.5,248500.0,2026-10-01,2027-08-01,10.21,schedule slip,186375.0
NX-00053,EMEA,Europe,2024-02-01,1.9,167200.0,2024-11-01,2025-02-01,3.04,schedule slip,125400.0
