order_id,region,market,edge_case,booked_month,mw,order_value,material_committed,promised_months,expected_conversion,slip_months,actual_conversion,cancelled
NX-00028,North America,US / Canada,False,2024-02-01,16.5,1369500.0,1027125.0,4,2024-06-01,0.02,2024-06-01,False
NX-00029,North America,US / Canada,False,2024-02-01,7.2,597600.0,448200.0,5,2024-07-01,0.08,2024-07-01,False
NX-00030,North America,US / Canada,False,2024-02-01,5.0,415000.0,311250.0,2,2024-04-01,0.0,2024-04-01,False
NX-00031,North America,US / Canada,False,2024-02-01,20.5,1701500.0,1276125.0,6,2024-08-01,0.06,2024-08-01,False
NX-00032,North America,US / Canada,False,2024-02-01,24.5,2033500.0,1525125.0,5,2024-07-01,1.39,2024-08-01,False
NX-00033,North America,US / Canada,False,2024-02-01,14.1,1170300.0,877725.0,5,2024-07-01,0.06,2024-07-01,False
NX-00034,North America,US / Canada,False,2024-02-01,10.1,838300.0,628725.0,21,2025-11-01,0.0,2025-11-01,False
NX-00035,North America,US / Canada,False,2024-02-01,13.4,1112200.0,834150.0,9,2024-11-01,0.32,2024-11-01,False
NX-00036,North America,US / Canada,False,2024-02-01,31.8,2639400.0,1979550.0,4,2024-06-01,0.35,2024-06-01,False
NX-00037,North America,US / Canada,False,2024-02-01,5.8,481400.0,361050.0,10,2024-12-01,0.3,2024-12-01,False
NX-00038,North America,US / Canada,False,2024-02-01,14.3,1186900.0,890175.0,7,2024-09-01,6.97,2025-04-01,False
NX-00039,North America,US / Canada,False,2024-02-01,14.1,1170300.0,877725.0,13,2025-03-01,0.02,2025-03-01,False
NX-00040,North America,US / Canada,False,2024-02-01,7.2,597600.0,448200.0,6,2024-08-01,0.39,2024-08-01,False
NX-00041,North America,US / Canada,False,2024-02-01,16.5,1369500.0,1027125.0,5,2024-07-01,2.37,2024-09-01,False
NX-00042,North America,US / Canada,False,2024-02-01,34.0,2822000.0,2116500.0,11,2025-01-01,0.03,2025-01-01,False
NX-00043,North America,US / Canada,False,2024-02-01,45.5,3776500.0,2832375.0,6,2024-08-01,0.5,2024-09-01,False
NX-00044,North America,US / Canada,False,2024-02-01,24.5,2033500.0,1525125.0,4,2024-06-01,0.24,2024-06-01,False
NX-00045,North America,US / Canada,False,2024-02-01,8.2,680599.9999999999,510449.9999999999,11,2025-01-01,3.04,2025-04-01,False
NX-00046,North America,US / Canada,False,2024-02-01,15.6,1294800.0,971100.0,10,2024-12-01,1.46,2025-01-01,False
NX-00047,North America,US / Canada,False,2024-02-01,25.8,2141400.0,1606050.0,6,2024-08-01,0.66,2024-09-01,False
NX-00048,North America,US / Canada,False,2024-02-01,5.5,456500.0,342375.0,6,2024-08-01,0.99,2024-09-01,False
NX-00049,North America,US / Canada,False,2024-02-01,16.2,1344600.0,1008450.0,5,2024-07-01,0.0,2024-07-01,False
NX-00050,North America,US / Canada,False,2024-02-01,8.8,730400.0000000001,547800.0000000001,5,2024-07-01,1.32,2024-08-01,False
NX-00051,North America,US / Canada,False,2024-02-01,30.1,2498300.0,1873725.0,19,2025-09-01,0.0,2025-09-01,False
NX-00052,EMEA,Europe,False,2024-02-01,14.6,1284800.0,963600.0,8,2024-10-01,1.61,2024-12-01,False
NX-00053,EMEA,Europe,False,2024-02-01,1.9,167200.0,125400.0,9,2024-11-01,3.04,2025-02-01,False
NX-00054,APAC,India,True,2024-02-01,4.1,291100.0,218325.0,7,2024-09-01,8.19,2025-05-01,False
NX-00055,APAC,India,True,2024-02-01,8.8,624800.0,468600.0,13,2025-03-01,0.16,2025-03-01,False
NX-00056,APAC,India,True,2024-02-01,10.7,759700.0,569775.0,12,2025-02-01,0.05,2025-02-01,False
NX-00057,APAC,India,True,2024-02-01,21.3,1512300.0,1134225.0,8,2024-10-01,20.23,,True
NX-00058,LATAM,LATAM,False,2024-02-01,6.4,505600.0,379200.0,3,2024-05-01,8.66,2025-02-01,False
NX-00059,LATAM,LATAM,False,2024-02-01,11.8,932200.0,699150.0,6,2024-08-01,3.54,2024-12-01,False
NX-00060,North America,US / Canada,False,2024-03-01,7.2,597600.0,448200.0,8,2024-11-01,0.5,2024-12-01,False
NX-00061,North America,US / Canada,False,2024-03-01,18.9,1568699.9999999998,1176524.9999999998,6,2024-09-01,0.0,2024-09-01,False
NX-00062,North America,US / Canada,False,2024-03-01,32.5,2697500.0,2023125.0,6,2024-09-01,0.7,2024-10-01,False
NX-00063,North America,US / Canada,False,2024-03-01,10.2,846599.9999999999,634949.9999999999,12,2025-03-01,1.45,2025-04-01,False
NX-00064,North America,US / Canada,False,2024-03-01,82.5,6847500.0,5135625.0,8,2024-11-01,0.03,2024-11-01,False
NX-00065,North America,US / Canada,False,2024-03-01,29.9,2481700.0,1861275.0,6,2024-09-01,0.48,2024-09-01,False
NX-00066,North America,US / Canada,False,2024-03-01,5.6,464799.99999999994,348599.99999999994,12,2025-03-01,0.94,2025-04-01,False
NX-00067,North America,US / Canada,False,2024-03-01,11.3,937900.0000000001,703425.0000000001,2,2024-05-01,1.46,2024-06-01,False
NX-00068,North America,US / Canada,False,2024-03-01,5.7,473100.0,354825.0,9,2024-12-01,0.0,2024-12-01,False
NX-00069,North America,US / Canada,False,2024-03-01,10.5,871500.0,653625.0,16,2025-07-01,0.03,2025-07-01,False
NX-00070,North America,US / Canada,False,2024-03-01,5.4,448200.00000000006,336150.00000000006,19,2025-10-01,0.32,2025-10-01,False
NX-00071,North America,US / Canada,False,2024-03-01,28.0,2324000.0,1743000.0,11,2025-02-01,0.01,2025-02-01,False
NX-00072,North America,US / Canada,False,2024-03-01,3.5,290500.0,217875.0,8,2024-11-01,0.0,2024-11-01,False
NX-00073,North America,US / Canada,False,2024-03-01,6.8,564400.0,423300.0,4,2024-07-01,0.18,2024-07-01,False
NX-00074,North America,US / Canada,False,2024-03-01,43.1,3577300.0,2682975.0,8,2024-11-01,4.89,2025-04-01,False
NX-00075,North America,US / Canada,False,2024-03-01,22.9,1900699.9999999998,1425524.9999999998,7,2024-10-01,0.02,2024-10-01,False
NX-00076,North America,US / Canada,False,2024-03-01,11.1,921300.0,690975.0,7,2024-10-01,0.02,2024-10-01,False
NX-00077,North America,US / Canada,False,2024-03-01,43.5,3610500.0,2707875.0,20,2025-11-01,0.0,2025-11-01,False
NX-00078,North America,US / Canada,False,2024-03-01,8.6,713800.0,535350.0,10,2025-01-01,0.65,2025-02-01,False
NX-00079,North America,US / Canada,False,2024-03-01,5.5,456500.0,342375.0,2,2024-05-01,0.68,2024-06-01,False
NX-00080,North America,US / Canada,False,2024-03-01,51.5,4274500.0,3205875.0,1,2024-04-01,0.01,2024-04-01,False
NX-00081,North America,US / Canada,False,2024-03-01,13.8,1145400.0,859050.0,9,2024-12-01,0.32,2024-12-01,False
NX-00082,North America,US / Canada,False,2024-03-01,18.7,1552100.0,1164075.0,6,2024-09-01,0.04,2024-09-01,False
NX-00083,North America,US / Canada,False,2024-03-01,36.2,3004600.0000000005,2253450.0000000005,12,2025-03-01,0.0,2025-03-01,False
NX-00084,EMEA,Europe,False,2024-03-01,45.0,3960000.0,2970000.0,10,2025-01-01,0.76,2025-02-01,False
NX-00085,EMEA,Europe,False,2024-03-01,20.2,1777600.0,1333200.0,7,2024-10-01,0.14,2024-10-01,False
NX-00086,EMEA,Europe,False,2024-03-01,16.5,1452000.0,1089000.0,9,2024-12-01,0.45,2024-12-01,False
NX-00087,EMEA,MENA,False,2024-03-01,12.2,988200.0,741150.0,3,2024-06-01,0.03,2024-06-01,False
NX-00088,EMEA,MENA,False,2024-03-01,5.1,413100.0,309825.0,4,2024-07-01,4.69,2024-12-01,False
NX-00089,EMEA,MENA,False,2024-03-01,5.0,405000.0,303750.0,4,2024-07-01,0.22,2024-07-01,False
NX-00090,EMEA,MENA,False,2024-03-01,33.2,2689200.0,2016900.0,6,2024-09-01,0.71,2024-10-01,False
NX-00091,APAC,Australia/SEA,False,2024-03-01,12.3,1033200.0000000001,774900.0000000001,16,2025-07-01,0.12,2025-07-01,False
NX-00092,APAC,Australia/SEA,False,2024-03-01,26.3,2209200.0,1656900.0,16,2025-07-01,0.3,2025-07-01,False
NX-00093,LATAM,LATAM,False,2024-03-01,8.9,703100.0,527325.0,13,2025-04-01,1.41,2025-05-01,False
NX-00094,LATAM,LATAM,False,2024-03-01,7.1,560900.0,420675.0,5,2024-08-01,1.82,2024-10-01,False
NX-00095,LATAM,LATAM,False,2024-03-01,9.4,742600.0,556950.0,17,2025-08-01,3.24,2025-11-01,False
NX-00096,North America,US / Canada,False,2024-04-01,17.5,1452500.0,1089375.0,6,2024-10-01,2.47,2024-12-01,False
NX-00097,North America,US / Canada,False,2024-04-01,8.1,672300.0,504225.0,9,2025-01-01,0.03,2025-01-01,False
NX-00098,North America,US / Canada,False,2024-04-01,40.4,3353200.0,2514900.0,4,2024-08-01,0.46,2024-08-01,False
NX-00099,North America,US / Canada,False,2024-04-01,21.9,1817699.9999999998,1363274.9999999998,7,2024-11-01,0.06,2024-11-01,False
NX-00100,North America,US / Canada,False,2024-04-01,5.3,439900.0,329925.0,12,2025-04-01,0.0,2025-04-01,False
NX-00101,North America,US / Canada,False,2024-04-01,10.3,854900.0000000001,641175.0000000001,6,2024-10-01,0.1,2024-10-01,False
NX-00102,North America,US / Canada,False,2024-04-01,12.9,1070700.0,803025.0,10,2025-02-01,0.0,2025-02-01,False
NX-00103,North America,US / Canada,False,2024-04-01,5.7,473100.0,354825.0,20,2025-12-01,3.28,2026-03-01,False
NX-00104,North America,US / Canada,False,2024-04-01,24.8,2058400.0,1543800.0,12,2025-04-01,1.24,2025-05-01,False
NX-00105,North America,US / Canada,False,2024-04-01,4.5,373500.0,280125.0,5,2024-09-01,0.15,2024-09-01,False
NX-00106,North America,US / Canada,False,2024-04-01,10.8,896400.0000000001,672300.0000000001,4,2024-08-01,0.0,2024-08-01,False
NX-00107,North America,US / Canada,False,2024-04-01,30.1,2498300.0,1873725.0,8,2024-12-01,0.07,2024-12-01,False
NX-00108,North America,US / Canada,False,2024-04-01,8.6,713800.0,535350.0,4,2024-08-01,0.25,2024-08-01,False
NX-00109,North America,US / Canada,False,2024-04-01,15.0,1245000.0,933750.0,8,2024-12-01,0.02,2024-12-01,False
NX-00110,North America,US / Canada,False,2024-04-01,5.1,423299.99999999994,317474.99999999994,3,2024-07-01,6.26,2025-01-01,False
NX-00111,North America,US / Canada,False,2024-04-01,98.4,8167200.000000001,6125400.000000001,9,2025-01-01,0.21,2025-01-01,False
NX-00112,North America,US / Canada,False,2024-04-01,21.8,1809400.0,1357050.0,7,2024-11-01,0.03,2024-11-01,False
NX-00113,North America,US / Canada,False,2024-04-01,21.3,1767900.0,1325925.0,7,2024-11-01,0.52,2024-12-01,False
NX-00114,North America,US / Canada,False,2024-04-01,8.6,713800.0,535350.0,12,2025-04-01,0.01,2025-04-01,False
NX-00115,North America,US / Canada,False,2024-04-01,4.0,332000.0,249000.0,6,2024-10-01,0.0,2024-10-01,False
NX-00116,North America,US / Canada,False,2024-04-01,11.0,913000.0,684750.0,3,2024-07-01,2.72,2024-10-01,False
NX-00117,North America,US / Canada,False,2024-04-01,15.2,1261600.0,946200.0,7,2024-11-01,0.15,2024-11-01,False
NX-00118,North America,US / Canada,False,2024-04-01,11.3,937900.0000000001,703425.0000000001,2,2024-06-01,1.03,2024-07-01,False
NX-00119,North America,US / Canada,False,2024-04-01,18.7,1552100.0,1164075.0,12,2025-04-01,0.5,2025-05-01,False
NX-00120,North America,US / Canada,False,2024-04-01,3.8,315400.0,236550.0,11,2025-03-01,0.11,2025-03-01,False
NX-00121,North America,US / Canada,False,2024-04-01,5.8,481400.0,361050.0,3,2024-07-01,1.25,2024-08-01,False
NX-00122,North America,US / Canada,False,2024-04-01,4.4,365200.00000000006,273900.00000000006,7,2024-11-01,1.73,2025-01-01,False
NX-00123,North America,US / Canada,False,2024-04-01,26.3,2182900.0,1637175.0,5,2024-09-01,5.73,2025-03-01,False
NX-00124,North America,US / Canada,False,2024-04-01,6.4,531200.0,398400.0,6,2024-10-01,0.01,2024-10-01,False
NX-00125,North America,US / Canada,False,2024-04-01,55.3,4589900.0,3442425.0,5,2024-09-01,1.22,2024-10-01,False
NX-00126,North America,US / Canada,False,2024-04-01,6.7,556100.0,417075.0,8,2024-12-01,0.01,2024-12-01,False
NX-00127,North America,US / Canada,False,2024-04-01,27.9,2315700.0,1736775.0,13,2025-05-01,0.21,2025-05-01,False
NX-00128,North America,US / Canada,False,2024-04-01,14.2,1178600.0,883950.0,3,2024-07-01,0.85,2024-08-01,False
NX-00129,EMEA,Europe,False,2024-04-01,23.3,2050400.0,1537800.0,12,2025-04-01,0.85,2025-05-01,False
NX-00130,EMEA,Europe,False,2024-04-01,5.9,519200.00000000006,389400.00000000006,3,2024-07-01,0.88,,True
NX-00131,EMEA,MENA,False,2024-04-01,16.5,1336500.0,1002375.0,8,2024-12-01,1.68,2025-02-01,False
NX-00132,EMEA,MENA,False,2024-04-01,37.1,3005100.0,2253825.0,8,2024-12-01,4.63,2025-05-01,False
NX-00133,APAC,India,True,2024-04-01,11.2,795200.0,596400.0,5,2024-09-01,0.86,2024-10-01,False
NX-00134,APAC,Australia/SEA,False,2024-04-01,8.9,747600.0,560700.0,11,2025-03-01,1.05,2025-04-01,False
NX-00135,APAC,Australia/SEA,False,2024-04-01,27.3,2293200.0,1719900.0,3,2024-07-01,6.49,2025-01-01,False
NX-00136,LATAM,LATAM,False,2024-04-01,14.6,1153400.0,865050.0,11,2025-03-01,16.53,2026-08-01,False
NX-00137,LATAM,LATAM,False,2024-04-01,10.4,821600.0,616200.0,5,2024-09-01,0.91,2024-10-01,False
NX-00138,North America,US / Canada,False,2024-05-01,28.3,2348900.0,1761675.0,7,2024-12-01,1.06,2025-01-01,False
NX-00139,North America,US / Canada,False,2024-05-01,10.5,871500.0,653625.0,9,2025-02-01,0.03,2025-02-01,False
NX-00140,North America,US / Canada,False,2024-05-01,15.0,1245000.0,933750.0,8,2025-01-01,0.06,2025-01-01,False
NX-00141,North America,US / Canada,False,2024-05-01,7.8,647400.0,485550.0,8,2025-01-01,0.07,2025-01-01,False
NX-00142,North America,US / Canada,False,2024-05-01,6.4,531200.0,398400.0,6,2024-11-01,0.77,2024-12-01,False
NX-00143,North America,US / Canada,False,2024-05-01,44.0,3652000.0,2739000.0,6,2024-11-01,0.0,2024-11-01,False
NX-00144,North America,US / Canada,False,2024-05-01,22.7,1884100.0,1413075.0,8,2025-01-01,0.01,2025-01-01,False
NX-00145,North America,US / Canada,False,2024-05-01,4.5,373500.0,280125.0,4,2024-09-01,0.78,2024-10-01,False
NX-00146,North America,US / Canada,False,2024-05-01,26.3,2182900.0,1637175.0,5,2024-10-01,0.09,2024-10-01,False
NX-00147,North America,US / Canada,False,2024-05-01,11.3,937900.0000000001,703425.0000000001,6,2024-11-01,0.8,2024-12-01,False
NX-00148,North America,US / Canada,False,2024-05-01,13.8,1145400.0,859050.0,10,2025-03-01,0.02,2025-03-01,False
NX-00149,North America,US / Canada,False,2024-05-01,14.9,1236700.0,927525.0,6,2024-11-01,0.92,2024-12-01,False
NX-00150,North America,US / Canada,False,2024-05-01,16.6,1377800.0000000002,1033350.0000000002,7,2024-12-01,0.01,2024-12-01,False
NX-00151,North America,US / Canada,False,2024-05-01,2.8,232399.99999999997,174299.99999999997,10,2025-03-01,0.07,2025-03-01,False
NX-00152,North America,US / Canada,False,2024-05-01,7.4,614200.0,460650.0,12,2025-05-01,0.64,,True
NX-00153,North America,US / Canada,False,2024-05-01,96.3,7992900.0,5994675.0,6,2024-11-01,0.49,2024-11-01,False
NX-00154,North America,US / Canada,False,2024-05-01,16.8,1394400.0,1045800.0,12,2025-05-01,0.71,2025-06-01,False
NX-00155,North America,US / Canada,False,2024-05-01,44.2,3668600.0000000005,2751450.0000000005,9,2025-02-01,0.13,2025-02-01,False
NX-00156,North America,US / Canada,False,2024-05-01,62.7,5204100.0,3903075.0,6,2024-11-01,0.2,2024-11-01,False
NX-00157,North America,US / Canada,False,2024-05-01,76.0,6308000.0,4731000.0,7,2024-12-01,0.0,2024-12-01,False
NX-00158,North America,US / Canada,False,2024-05-01,39.4,3270200.0,2452650.0,7,2024-12-01,0.69,,True
NX-00159,North America,US / Canada,False,2024-05-01,14.3,1186900.0,890175.0,6,2024-11-01,0.09,2024-11-01,False
NX-00160,North America,US / Canada,False,2024-05-01,17.4,1444199.9999999998,1083149.9999999998,5,2024-10-01,0.03,2024-10-01,False
NX-00161,North America,US / Canada,False,2024-05-01,3.6,298800.0,224100.0,6,2024-11-01,0.01,2024-11-01,False
NX-00162,North America,US / Canada,False,2024-05-01,39.2,3253600.0000000005,2440200.0000000005,21,2026-02-01,1.91,2026-04-01,False
NX-00163,North America,US / Canada,False,2024-05-01,17.7,1469100.0,1101825.0,4,2024-09-01,0.04,2024-09-01,False
NX-00164,North America,US / Canada,False,2024-05-01,9.0,747000.0,560250.0,9,2025-02-01,0.15,2025-02-01,False
NX-00165,North America,US / Canada,False,2024-05-01,45.0,3735000.0,2801250.0,9,2025-02-01,0.03,2025-02-01,False
NX-00166,EMEA,Europe,False,2024-05-01,12.3,1082400.0,811800.0,12,2025-05-01,0.14,2025-05-01,False
NX-00167,APAC,India,True,2024-05-01,12.5,887500.0,665625.0,5,2024-10-01,1.65,2024-12-01,False
NX-00168,APAC,Australia/SEA,False,2024-05-01,22.5,1890000.0,1417500.0,10,2025-03-01,0.21,2025-03-01,False
NX-00169,APAC,Australia/SEA,False,2024-05-01,5.1,428399.99999999994,321299.99999999994,8,2025-01-01,1.77,2025-03-01,False
NX-00170,LATAM,LATAM,False,2024-05-01,25.5,2014500.0,1510875.0,7,2024-12-01,0.37,2024-12-01,False
NX-00171,LATAM,LATAM,False,2024-05-01,19.4,1532600.0,1149450.0,10,2025-03-01,1.51,2025-05-01,False
NX-00172,LATAM,LATAM,False,2024-05-01,12.7,1003300.0,752475.0,8,2025-01-01,6.16,2025-07-01,False
NX-00173,North America,US / Canada,False,2024-06-01,6.0,498000.0,373500.0,10,2025-04-01,0.45,2025-04-01,False
NX-00174,North America,US / Canada,False,2024-06-01,12.1,1004300.0,753225.0,8,2025-02-01,1.72,2025-04-01,False
NX-00175,North America,US / Canada,False,2024-06-01,7.8,647400.0,485550.0,14,2025-08-01,0.0,2025-08-01,False
NX-00176,North America,US / Canada,False,2024-06-01,84.5,7013500.0,5260125.0,5,2024-11-01,0.02,2024-11-01,False
NX-00177,North America,US / Canada,False,2024-06-01,14.0,1162000.0,871500.0,4,2024-10-01,0.07,2024-10-01,False
NX-00178,North America,US / Canada,False,2024-06-01,32.2,2672600.0000000005,2004450.0000000005,10,2025-04-01,0.41,2025-04-01,False
NX-00179,North America,US / Canada,False,2024-06-01,60.6,5029800.0,3772350.0,5,2024-11-01,0.05,2024-11-01,False
NX-00180,North America,US / Canada,False,2024-06-01,13.3,1103900.0,827925.0,6,2024-12-01,0.0,2024-12-01,False
NX-00181,North America,US / Canada,False,2024-06-01,13.0,1079000.0,809250.0,8,2025-02-01,0.0,2025-02-01,False
NX-00182,North America,US / Canada,False,2024-06-01,17.7,1469100.0,1101825.0,7,2025-01-01,0.0,2025-01-01,False
NX-00183,North America,US / Canada,False,2024-06-01,17.5,1452500.0,1089375.0,14,2025-08-01,0.01,2025-08-01,False
NX-00184,North America,US / Canada,False,2024-06-01,46.2,3834600.0000000005,2875950.0000000005,7,2025-01-01,0.1,2025-01-01,False
NX-00185,North America,US / Canada,False,2024-06-01,51.3,4257900.0,3193425.0,2,2024-08-01,0.64,2024-09-01,False
NX-00186,North America,US / Canada,False,2024-06-01,68.7,5702100.0,4276575.0,7,2025-01-01,0.0,2025-01-01,False
NX-00187,North America,US / Canada,False,2024-06-01,42.3,3510899.9999999995,2633174.9999999995,3,2024-09-01,0.04,2024-09-01,False
NX-00188,North America,US / Canada,False,2024-06-01,30.9,2564700.0,1923525.0,11,2025-05-01,0.0,2025-05-01,False
NX-00189,North America,US / Canada,False,2024-06-01,4.0,332000.0,249000.0,9,2025-03-01,0.22,2025-03-01,False
NX-00190,North America,US / Canada,False,2024-06-01,22.3,1850900.0,1388175.0,4,2024-10-01,0.47,2024-10-01,False
NX-00191,North America,US / Canada,False,2024-06-01,22.6,1875800.0000000002,1406850.0000000002,4,2024-10-01,1.64,2024-12-01,False
NX-00192,North America,US / Canada,False,2024-06-01,9.1,755300.0,566475.0,6,2024-12-01,0.0,2024-12-01,False
NX-00193,North America,US / Canada,False,2024-06-01,9.7,805099.9999999999,603824.9999999999,4,2024-10-01,0.81,2024-11-01,False
NX-00194,EMEA,Europe,False,2024-06-01,40.3,3546399.9999999995,2659799.9999999995,7,2025-01-01,1.53,2025-03-01,False
NX-00195,EMEA,Europe,False,2024-06-01,4.0,352000.0,264000.0,6,2024-12-01,2.05,2025-02-01,False
NX-00196,EMEA,Europe,False,2024-06-01,24.8,2182400.0,1636800.0,3,2024-09-01,0.84,,True
NX-00197,EMEA,Europe,False,2024-06-01,17.9,1575199.9999999998,1181399.9999999998,1,2024-07-01,1.07,2024-08-01,False
NX-00198,EMEA,Europe,False,2024-06-01,7.5,660000.0,495000.0,5,2024-11-01,0.21,2024-11-01,False
NX-00199,EMEA,Europe,False,2024-06-01,11.3,994400.0000000001,745800.0000000001,12,2025-06-01,6.45,2025-12-01,False
NX-00200,EMEA,Europe,False,2024-06-01,25.0,2200000.0,1650000.0,4,2024-10-01,0.51,2024-11-01,False
NX-00201,APAC,India,True,2024-06-01,7.2,511200.0,383400.0,18,2025-12-01,1.42,2026-01-01,False
NX-00202,APAC,Australia/SEA,False,2024-06-01,30.4,2553600.0,1915200.0,7,2025-01-01,0.02,,True
NX-00203,APAC,Australia/SEA,False,2024-06-01,16.5,1386000.0,1039500.0,3,2024-09-01,1.47,2024-10-01,False
NX-00204,LATAM,LATAM,False,2024-06-01,25.5,2014500.0,1510875.0,2,2024-08-01,8.39,2025-04-01,False
NX-00205,LATAM,LATAM,False,2024-06-01,19.6,1548400.0,1161300.0,11,2025-05-01,6.36,2025-11-01,False
NX-00206,North America,US / Canada,False,2024-07-01,4.7,390100.0,292575.0,5,2024-12-01,0.21,2024-12-01,False
NX-00207,North America,US / Canada,False,2024-07-01,51.3,4257900.0,3193425.0,5,2024-12-01,0.0,2024-12-01,False
NX-00208,North America,US / Canada,False,2024-07-01,13.8,1145400.0,859050.0,8,2025-03-01,0.55,2025-04-01,False
NX-00209,North America,US / Canada,False,2024-07-01,30.8,2556400.0,1917300.0,14,2025-09-01,0.0,2025-09-01,False
NX-00210,North America,US / Canada,False,2024-07-01,29.0,2407000.0,1805250.0,1,2024-08-01,0.51,2024-09-01,False
NX-00211,North America,US / Canada,False,2024-07-01,12.4,1029200.0,771900.0,4,2024-11-01,0.0,2024-11-01,False
NX-00212,North America,US / Canada,False,2024-07-01,31.5,2614500.0,1960875.0,8,2025-03-01,0.0,2025-03-01,False
NX-00213,North America,US / Canada,False,2024-07-01,8.9,738700.0,554025.0,10,2025-05-01,0.46,2025-05-01,False
NX-00214,North America,US / Canada,False,2024-07-01,9.7,805099.9999999999,603824.9999999999,6,2025-01-01,0.05,2025-01-01,False
NX-00215,North America,US / Canada,False,2024-07-01,18.2,1510600.0,1132950.0,6,2025-01-01,0.0,2025-01-01,False
NX-00216,North America,US / Canada,False,2024-07-01,20.7,1718100.0,1288575.0,5,2024-12-01,0.01,2024-12-01,False
NX-00217,North America,US / Canada,False,2024-07-01,47.5,3942500.0,2956875.0,8,2025-03-01,0.16,2025-03-01,False
NX-00218,North America,US / Canada,False,2024-07-01,8.2,680599.9999999999,510449.9999999999,6,2025-01-01,0.64,2025-02-01,False
NX-00219,North America,US / Canada,False,2024-07-01,8.4,697200.0,522900.0,10,2025-05-01,0.99,2025-06-01,False
NX-00220,North America,US / Canada,False,2024-07-01,4.7,390100.0,292575.0,8,2025-03-01,0.11,2025-03-01,False
NX-00221,North America,US / Canada,False,2024-07-01,18.7,1552100.0,1164075.0,11,2025-06-01,0.4,2025-06-01,False
NX-00222,North America,US / Canada,False,2024-07-01,3.5,290500.0,217875.0,7,2025-02-01,0.12,2025-02-01,False
NX-00223,EMEA,Europe,False,2024-07-01,20.9,1839199.9999999998,1379399.9999999998,3,2024-10-01,0.8,2024-11-01,False
