market,month,orders_booked,mw_booked,value_booked,mw_converted,value_converted,backlog_value,backlog_mw,committed_material,material_in_horizon,mw_in_horizon,book_to_bill
MENA,2025-09-01,4,114.4,9266400.0,74.79999999999998,6058800.0,41107500.0,507.5,30830625.0,9610650.0,158.2,1.5294117647058822
MENA,2025-10-01,3,44.099999999999994,3572100.0,32.3,2616300.0,42063300.0,519.3,31547475.0,11384550.0,187.39999999999998,1.3653250773993808
MENA,2025-11-01,4,48.4,3920400.0,0.0,0.0,45983700.0,567.6999999999999,34487775.0,17799750.0,293.00000000000006,
MENA,2025-12-01,1,12.1,980100.0,71.69999999999999,5807700.0,41156100.0,508.1,30867075.0,20308725.0,334.3,0.16875871687587168
India,2024-01-01,3,48.5,3443500.0,0.0,0.0,3443500.0,48.5,2582625.0,0.0,0.0,
India,2024-02-01,3,91.80000000000001,6517800.0,0.0,0.0,9961300.0,140.3,7470975.0,0.0,0.0,
India,2024-03-01,3,103.39999999999999,7341400.0,0.0,0.0,17302700.0,243.70000000000002,12977025.0,1799850.0,33.8,
India,2024-04-01,3,77.0,5467000.0,0.0,0.0,20426700.0,287.7,15320025.0,1799850.0,33.8,
India,2024-05-01,0,0.0,0.0,0.0,0.0,20426700.0,287.7,15320025.0,3519825.0,66.1,
India,2024-06-01,5,54.1,3841100.0,0.0,0.0,23394500.0,329.49999999999994,17545875.0,4595475.0,86.3,
India,2024-07-01,2,18.9,1341900.0,0.0,0.0,24196800.0,340.79999999999995,18147600.0,3818025.0,71.7,
India,2024-08-01,3,83.1,5900100.0,0.0,0.0,30096900.0,423.8999999999999,22572675.0,7790475.0,146.29999999999998,
India,2024-09-01,0,0.0,0.0,19.3,1370300.0,28726600.0,404.59999999999997,21544950.0,16539450.0,310.6,0.0
India,2024-10-01,3,74.5,5289500.0,14.7,1043700.0,32972400.0,464.40000000000003,24729300.0,16438275.0,308.7,5.068027210884353
India,2024-11-01,2,17.5,1242500.0,0.0,0.0,33568800.0,472.8,25176600.0,16475550.0,309.4,
India,2024-12-01,1,35.0,2485000.0,74.6,5296600.0,30757200.0,433.2,23067900.0,14100600.0,264.8,0.4691689008042895
India,2025-01-01,2,18.4,1306400.0,4.5,319500.0,31744100.0,447.09999999999997,23808075.0,4041675.0,75.9,4.088888888888889
India,2025-02-01,0,0.0,0.0,79.3,5630300.0,26113800.0,367.79999999999995,19585350.0,3067200.0,57.599999999999994,0.0
India,2025-03-01,2,24.0,1704000.0,33.7,2392700.0,25425100.0,358.1,19068825.0,6310125.0,118.5,0.712166172106825
India,2025-04-01,3,65.5,4650500.0,0.0,0.0,30075600.0,423.6,22556700.0,5159925.0,96.9,
India,2025-05-01,3,65.0,4615000.0,118.5,8413500.0,26277100.0,370.09999999999997,19707825.0,7668000.0,144.0,0.5485232067510548
India,2025-06-01,5,144.2,10238200.0,19.9,1412900.0,35102400.0,494.4,26326800.0,9419925.0,176.9,7.2462311557788945
India,2025-07-01,0,0.0,0.0,25.0,1775000.0,33327400.0,469.4,24995550.0,6826650.0,128.2,0.0
India,2025-08-01,0,0.0,0.0,35.0,2485000.0,30842400.0,434.4,23131800.0,8291025.0,155.7,0.0
India,2025-09-01,2,17.7,1256700.0,15.0,1065000.0,31034100.0,437.0999999999999,23275575.0,7252650.0,136.2,1.18
India,2025-10-01,1,6.6,468600.0,54.199999999999996,3848200.0,27654500.0,389.5,20740875.0,8078025.0,151.7,0.12177121771217712
India,2025-11-01,2,57.6,4089600.0,13.4,951400.0,29649600.0,417.59999999999997,22237200.0,10921575.0,205.10000000000002,4.298507462686567
India,2025-12-01,4,58.400000000000006,4146400.0,71.9,5104900.0,28691100.0,404.1000000000001,21518325.0,9009900.0,169.2,0.8122392211404729
Australia/SEA,2024-01-01,1,25.5,2142000.0,0.0,0.0,2142000.0,25.5,1606500.0,0.0,0.0,
Australia/SEA,2024-02-01,2,45.9,3855600.0,0.0,0.0,5997600.0,71.4,4498200.0,0.0,0.0,
Australia/SEA,2024-03-01,0,0.0,0.0,0.0,0.0,5997600.0,71.4,4498200.0,0.0,0.0,
Australia/SEA,2024-04-01,1,10.8,907200.0000000001,0.0,0.0,6904800.0,82.2,5178600.0,0.0,0.0,
Australia/SEA,2024-05-01,1,20.5,1722000.0,0.0,0.0,8626800.0,102.7,6470100.0,2104200.0,33.4,
Australia/SEA,2024-06-01,1,34.1,2864400.0,0.0,0.0,11491200.0,136.8,8618400.0,3710700.0,58.9,
Australia/SEA,2024-07-01,0,0.0,0.0,0.0,0.0,11491200.0,136.8,8618400.0,5789700.0,91.9,
Australia/SEA,2024-08-01,1,23.0,1932000.0,0.0,0.0,13423200.0,159.8,10067400.0,6470100.0,102.7,
Australia/SEA,2024-09-01,0,0.0,0.0,0.0,0.0,13423200.0,159.8,10067400.0,4365900.0,69.3,
Australia/SEA,2024-10-01,2,36.3,3049200.0,25.5,2142000.0,14330400.0,170.60000000000002,10747800.0,4907700.0,77.9,1.423529411764706
Australia/SEA,2024-11-01,1,9.2,772799.9999999999,33.4,2805600.0,12297600.0,146.4,9223200.0,2828700.0,44.900000000000006,0.27544910179640714
Australia/SEA,2024-12-01,1,62.8,5275200.0,33.0,2772000.0,9525600.0,113.4,7144200.0,3395700.0,53.900000000000006,1.903030303030303
Australia/SEA,2025-01-01,2,34.5,2898000.0,10.8,907200.0000000001,11516400.0,137.1,8637300.0,3395700.0,53.900000000000006,3.194444444444444
Australia/SEA,2025-02-01,3,62.4,5241600.0,0.0,0.0,16094400.0,191.6,12070800.0,2696400.0,42.8,
Australia/SEA,2025-03-01,3,35.4,2973600.0,0.0,0.0,19068000.0,227.0,14301000.0,2696400.0,42.8,
Australia/SEA,2025-04-01,1,10.5,882000.0,19.8,1663200.0,18286800.0,217.70000000000002,13715100.0,1745100.0,27.7,0.5303030303030303
Australia/SEA,2025-05-01,1,11.3,949200.0000000001,0.0,0.0,19236000.0,229.00000000000003,14427000.0,6180300.0,98.1,
Australia/SEA,2025-06-01,2,27.6,2318400.0,34.1,2864400.0,18690000.0,222.5,14017500.0,5310900.0,84.3,0.8093841642228738
Australia/SEA,2025-07-01,0,0.0,0.0,23.0,1932000.0,16758000.0,199.5,12568500.0,7887600.0,125.19999999999999,0.0
Australia/SEA,2025-08-01,1,17.6,1478400.0000000002,4.7,394800.0,17841600.0,212.39999999999998,13381200.0,8542800.0,135.6,3.7446808510638303
Australia/SEA,2025-09-01,0,0.0,0.0,29.8,2503200.0,15338400.0,182.6,11503800.0,5947200.0,94.39999999999998,0.0
Australia/SEA,2025-10-01,2,20.4,1713600.0,16.5,1386000.0,15666000.0,186.49999999999997,11749500.0,6186600.0,98.19999999999999,1.2363636363636363
Australia/SEA,2025-11-01,2,45.5,3822000.0000000005,54.5,4578000.0,14910000.0,177.5,11182500.0,4718700.0,74.9,0.834862385321101
Australia/SEA,2025-12-01,0,0.0,0.0,15.1,1268400.0,13641600.0,162.40000000000003,10231200.0,6123600.0,97.2,0.0
LATAM,2024-01-01,2,33.7,2662300.0,0.0,0.0,2662300.0,33.7,1996725.0,0.0,0.0,
LATAM,2024-02-01,1,13.6,1074400.0,0.0,0.0,3736700.0,47.300000000000004,2802525.0,0.0,0.0,
LATAM,2024-03-01,3,68.4,5403600.0,0.0,0.0,9140300.0,115.7,6855225.0,0.0,0.0,
LATAM,2024-04-01,2,75.5,5964500.0,0.0,0.0,14741400.0,186.60000000000002,11056050.0,1783425.0,30.1,
LATAM,2024-05-01,5,49.3,3894700.0,0.0,0.0,17909300.0,226.70000000000002,13431975.0,5984250.0,101.0,
LATAM,2024-06-01,5,124.39999999999999,9827600.0,0.0,0.0,27736900.0,351.1,20802675.0,6244950.0,105.4,
LATAM,2024-07-01,1,7.4,584600.0,0.0,0.0,28321500.0,358.5,21241125.0,7607700.0,128.4,
LATAM,2024-08-01,2,91.0,7189000.0,0.0,0.0,35510500.0,449.5,26632875.0,6890775.0,116.30000000000001,
LATAM,2024-09-01,1,44.2,3491800.0,0.0,0.0,39002300.0,493.7,29251725.0,9408900.0,158.8,
LATAM,2024-10-01,1,8.8,695200.0,0.0,0.0,39697500.0,502.5,29773125.0,13200900.0,222.8,
LATAM,2024-11-01,0,0.0,0.0,124.80000000000001,9859200.0,29838300.0,377.7,22378725.0,11838150.0,199.8,0.0
LATAM,2024-12-01,2,12.1,955900.0,12.5,987500.0,29806700.0,377.3,22355025.0,16056750.0,271.0,0.968
LATAM,2025-01-01,3,31.700000000000003,2504300.0,98.8,7805200.0,24505800.0,310.20000000000005,18379350.0,12750600.0,215.2,0.3208502024291498
LATAM,2025-02-01,2,23.5,1856500.0,71.60000000000001,5656400.0,20705900.0,262.1,15529425.0,9805875.0,165.5,0.32821229050279327
LATAM,2025-03-01,3,34.5,2725500.0,0.0,0.0,23431400.0,296.6,17573550.0,10623525.0,179.3,
LATAM,2025-04-01,3,34.8,2749200.0,87.39999999999999,6904600.0,19276000.0,244.0,14457000.0,7187025.0,121.30000000000001,0.39816933638443935
LATAM,2025-05-01,8,121.70000000000002,9614300.0,16.5,1303500.0,27586800.0,349.2,20690100.0,5356200.0,90.39999999999999,7.375757575757576
LATAM,2025-06-01,1,13.3,1050700.0,0.0,0.0,28637500.0,362.5,21478125.0,6013875.0,101.5,
LATAM,2025-07-01,1,7.5,592500.0,13.8,1090200.0,28139800.0,356.20000000000005,21104850.0,5622825.0,94.9,0.5434782608695652
LATAM,2025-08-01,3,90.5,7149500.0,81.60000000000001,6446400.0,28842900.0,365.1,21632175.0,8632725.0,145.7,1.1090686274509804
LATAM,2025-09-01,4,35.3,2788700.0,49.6,3918400.0,27713200.0,350.8,20784900.0,9219300.0,155.60000000000002,0.7116935483870968
LATAM,2025-10-01,2,24.7,1951300.0,8.8,695200.0,28969300.0,366.7,21726975.0,9148200.0,154.4,2.8068181818181817
LATAM,2025-11-01,2,26.900000000000002,2125100.0,14.5,1145500.0,29948900.0,379.1000000000001,22461675.0,9474075.0,159.9,1.8551724137931034
LATAM,2025-12-01,2,57.4,4534600.0,41.800000000000004,3302200.0,31181300.0,394.7,23385975.0,7453650.0,125.8,1.3732057416267942
